iter	Passed	Remaining
894	3086	362
895	3088	358
896	3089	354
897	3091	351
898	3093	347
899	3095	343
900	3097	340
901	3099	336
902	3101	333
903	3103	329
904	3105	325
905	3107	322
906	3109	318
907	3110	315
908	3112	311
909	3114	308
910	3116	304
911	3117	300
912	3119	297
913	3121	293
914	3123	290
915	3125	286
916	3127	283
917	3129	279
918	3130	275
919	3133	272
920	3135	268
921	3137	265
922	3139	261
923	3141	258
924	3142	254
925	3144	251
926	3146	247
927	3148	244
928	3150	240
929	3151	237
930	3153	233
931	3156	230
932	3158	226
933	3160	223
934	3162	219
935	3163	216
936	3165	212
937	3166	209
938	3168	205
939	3169	202
940	3171	198
941	3172	195
942	3174	191
943	3176	188
944	3177	184
945	3179	181
946	3180	178
947	3182	174
948	3183	171
949	3184	167
950	3186	164
951	3188	160
952	3189	157
953	3192	153
954	3195	150
955	3198	147
956	3200	143
957	3202	140
958	3204	137
959	3206	133
960	3208	130
961	3211	126
962	3215	123
963	3217	120
964	3220	116
965	3224	113
966	3226	110
967	3227	106
968	3232	103
969	3234	100
970	3236	96
971	3238	93
972	3240	89
973	3242	86
974	3244	83
975	3245	79
976	3249	76
977	3251	73
978	3254	69
979	3258	66
980	3262	63
981	3264	59
982	3266	56
983	3267	53
984	3269	49
985	3270	46
986	3272	43
987	3274	39
988	3275	36
989	3277	33
990	3278	29
991	3280	26
992	3281	23
993	3282	19
994	3286	16
995	3291	13
996	3293	9
997	3294	6
998	3298	3
999	3300	0
